original,clean
Dod Prostate Cancer Synergistic Idea Development Award Pc120857,Department of Defense Prostate Cancer Research Program
Dod Sbir,Department of Defense | Small Business Innovation Research
Dod Sbir Phase Ii,Department of Defense | Small Business Innovation Research
Dod Synergy,Department of Defense
Dod Tardec,"Department of Defense | Tank Automotive Research, Development and Engineering Center"
DodDarpa,Department of Defense | Defense Advanced Research Projects Agency
Doe,Department of Energy
Doe Award Number,Department of Energy
Doe Cooperative Agreement No,Department of Energy
Doe DeFg0205Er15687,Department of Energy
Doe DeFg0207Er86321,Department of Energy
Doe DeSc00001013,Department of Energy
Doe Grant No,Department of Energy
Doe National Nuclear Security Administration,Department of Energy | National Nuclear Security Administration
Doe Oak Ridge Tenn,Department of Energy | Oak Ridge National Laboratory
Doe Office of Science,Department of Energy | Office of Science
Doe Patent Waiver Regulations,Department of Energy
Doe Sbir,Department of Energy | Small Business Innovation Research
Doe Sbir Grant,Department of Energy | Small Business Innovation Research
Doe Sbir Phase Iii Xlerator Program Federal Grant,Department of Energy | Small Business Innovation Research
Doe Sbir Phase Iii Xlerator Program Federal Grant and Cooperative Agreement,Department of Energy | Small Business Innovation Research
Doe Sbir Program,Department of Energy | Small Business Innovation Research
Doe Solar Power,Department of Energy
Doe Vehicle Technology Program,Department of Energy | Vehicle Technologies Office
DoeEere Fuel Cell Technology Program,Department of Energy | Office of Energy Efficiency and Renewable Energy
DoeGlbrc,Department of Energy
Doi,Department of the Interior
Domestic Nuclear Detection Office,Domestic Nuclear Detection Office
Domestic Nuclear Detection Office of the United States Department of Homeland Security,Domestic Nuclear Detection Office | Department of Homeland Security
Dot,Department of Transportation
Dot Grant No,Department of Transportation
Drug Administration,Food and Drug Administration
Dtra,Defense Threat Reduction Agency
Earth System Research Laboratory,Earth System Research Laboratory
Eccs,non_government
Economic Development Administration,Economic Development Administration
Education,non_government
Education and Welfare,"Department of Health, Education, and Welfare"
EercDoe Joint Program on Research and Development,Department of Energy
EercDoe Joint Program on Research and Development for Fossil EnergyRelated Resources,Department of Energy
Efrc,Office of Science
Efri,National Science Foundation
Eglin Air Force Base,Air Force
Energy,non_government
Energy Efficiency and Renewable Energy,Energy Efficiency and Renewable Energy
Energy Research and Development Administration,Energy Research and Development Administration
Engineer Research and Development Center,Army Engineer Research and Development Center
Environmental Protection Agency,Environmental Protection Agency
Epa,Environmental Protection Agency
Erc Program of the National Science Foundation,National Science Foundation
Erda,Energy Research and Development Administration
Ernest Orlando Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory
Esa,Employment Standards Administration
Eunice Kennedy Shriver National Institute of Child Health and Human Development,National Institute of Child Health and Human Development
Fa9550091101 39 Air Force Office of Scientific Research,Air Force Office of Scientific Research
Faa,Federal Aviation Administration
Faa Wm J Hughes Technical Center,Federal Aviation Administration
Fbi,Federal Bureau of Investigation
Federal,non_government
Federal Agency,non_government
Federal Agency National Institutes of Health,National Institutes of Health
Federal Aviation Administration,Federal Aviation Administration
Federal Contract,non_government
Federal Contract No,non_government
Federal Emergency Management Agency,Federal Emergency Management Agency
Federal Government,non_government
Federal Government Contract,non_government
Federal Government of the United States,United States Government
Federal Government Office of Naval Research Grant,Office of Naval Research
Federal Government Through Grant No,United States Government
Federal Government Under National Institute of Child Health and Human Development,National Institute of Child Health and Human Development
Federal Grant,non_government
Federal Grant N000141210294,non_government
Federal Grant No,non_government
Federal Grant Number Eec0812056,non_government
Federal Highway Administration,Federal Highway Administration
Federal Highway Administration Award Dtfh6114C00001,Federal Highway Administration
Federal Highway AdministrationNebraska Department of Roads,Federal Highway Administration
Federal Highway Randd Labs,Federal Highway Administration
Federal Railroad Administration,Federal Railroad Administration
Federal Sponsored the US Government,United States Government
Federal Transit Administration,Federal Transit Administration
Federal Transit Administration Grant,Federal Transit Administration
Federal Transit Administration Grant No,Federal Transit Administration
Federally Funded Research Government,non_government
FederallySponsored Research and Development the United States Government,United States Government
Fogarty International Center,Fogarty International Center
Fogarty International Center of the National Institutes of Health,Fogarty International Center | National Institutes of Health
Food and Drug Administration,Food and Drug Administration
Food Research Initiative,Agriculture and Food Research Initiative
Fra,Federal Railroad Administration
Frs,Federal Reserve System
Fta,Federal Transit Administration
Fta National Fuel Cell,Federal Transit Administration
Fta National Fuel Cell Bus Program Nutmeg Program,Federal Transit Administration
Fuel Cell Technologies Program of the US Department of Energy,Department of Energy
Fy10 Defense Medical Research and Development Program Basic Research Award for Project D61I10J2235,Defense Medical Research and Development Program
General Services Administration,General Services Administration
Genomic Science,National Human Genome Research Institute
Gm,non_government
Goali,non_government
Goverment,non_government
Government,non_government
Government Army Research Lab,Army Research Laboratory
Government Army Research Office,Army Research Office
Government Assistance Under National Institutes of Health,National Institutes of Health
Government Contract  Dtfact10C00013,non_government
Government Contract N6523608D0010,non_government
Government Contract No,non_government
Government Contract No 08C0297,non_government
Government Contract No 11C0042,non_government
Government Contract Number,non_government
Government Contract Number W911Nf14C0116,non_government
Government Contract Numbers Nih,National Institutes of Health
Government for Government,non_government
Government of the United State of America,United States Government
Government of the United States of America Department of Energy,Department of Energy
Government of the United States of America National Institutes of Health,National Institutes of Health
Government of the United States of America National Institutes of Health Grant,National Institutes of Health
Government of the US of America,United States Government
Government of the USA,United States Government
Government of United States of America,United States Government
Government Program Department of InteriorDarpa,Department of the Interior | Defense Advanced Research Projects Agency
Government Support,non_government
Government Support Under Contract Nos,non_government
Government Support Under National Institute of Health Grant Nos,National Institutes of Health
Government Support Under National Institutes of Health,National Institutes of Health
